Numéro d'image,Caractéristique[Gabor][DCT][Fourier][PHOG],Étiquette
16,"['[[0.5558560744855718, 0.04968289221370296], [0.16992820347696047, 0.004662236642780309], [0.3749626105736171, 0.02246119034492731], [0.0005593051423368064, 2.0132476487485252e-06], [0.5558610062915493, 0.04968506699667371], [0.1701662706354576, 0.004677748120573328], [0.37820978772813324, 0.022861129735038337], [9.008330907589956e-05, 1.2678888937557321e-06], [0.5558560744855721, 0.04968582581874961], [0.16992820347696042, 0.004675671385932658], [0.37496261057361757, 0.022497514633818817], [0.000559305142336807, 4.659646562446995e-06], [0.5558610062915493, 0.04968536742114165], [0.1701662706354575, 0.00467917147800564], [0.37820978772813285, 0.022864856846803065], [9.008330907589956e-05, 1.4397802753335456e-06]]', '[1047.206063943508, -91.7175080099949, -259.8419855136118, 1.7126822153506092, -104.63013139695994, -48.146669557028105, -146.48380820339318, 23.49300592350376, -43.37303685274914, 31.00818483814472, -32.51876467512881, 35.93344081627978, -19.880147523101805, 20.718978764374814, -9.621555548692552, 3.847767653442825, -22.683096138803606, 0.8125084079051843, -12.38046936838697, 0.24598507423806093]', '[66523.73394381114, 68686.3219528106, 68686.3219528106, 71518.60525170626, 71518.60525170628, 73730.15241192724, 73730.15241192725, 83443.72100658658, 83443.7210065866, 86289.15609463202, 86289.15609463202, 95912.37784921443, 95912.37784921446, 133409.38874639026, 133409.3887463903, 209694.69053842797, 209694.69053842797, 343331.26225117623, 343331.2622511763, 1877219.6156862746]']",0
14,"['[[0.4946345858342858, 0.03606775411725206], [0.1512124638130086, 0.003397931937096254], [0.3336645655191772, 0.016239636965477585], [0.0004977037764510992, 2.7855484532748416e-06], [0.4946389744555839, 0.03606830608957171], [0.15142431046855326, 0.003403856310386054], [0.3365541014992256, 0.016514836613647933], [8.016161434698146e-05, 1.1053674546787647e-06], [0.4946345858342857, 0.03606819432763925], [0.15121246381300857, 0.0034000247407793525], [0.3336645655191772, 0.016245033273187964], [0.0004977037764510984, 3.1155113991689793e-06], [0.4946389744555836, 0.03606887696425337], [0.15142431046855312, 0.003407064363658139], [0.33655410149922566, 0.01651571260042259], [8.016161434698144e-05, 1.4805781401076716e-06]]', '[512.3057744761563, 3.047893984649389, -142.1630269415648, 9.80128744675947, -48.66742502781034, -3.86374439965466, -59.69180416672474, -3.3859137872555625, -6.5622719349380665, 0.34635046440277417, -3.6454991445415486, -3.4522070929305824, 10.62470434711095, -6.489102841678465, 11.493701141959802, -5.022407937417912, 5.08907007325165, -5.81440093799873, 4.646147585471999, 5.445202821367726]', '[12316.798499795086, 13266.232638801728, 13266.23263880173, 14474.47606042174, 14474.47606042174, 14998.951582544882, 14998.951582544883, 20145.355676224495, 20145.355676224503, 21701.95416606623, 21701.954166066233, 23667.31423455021, 23667.31423455021, 34819.01082028275, 34819.010820282754, 41668.765629040856, 41668.765629040856, 99072.95183491266, 99072.95183491266, 504878.8352941176]']",0
1,"['[[0.3755687379557752, 0.04951927140543402], [0.1148133911858343, 0.004655336792147573], [0.2533465781840467, 0.02232542809893412], [0.0003778991290758341, 2.4910113200296063e-06], [0.3755720701711306, 0.04952022892382317], [0.1149742432235641, 0.004666599844733591], [0.2555405601909342, 0.02270181104742435], [6.086553022169714e-05, 1.1461372586019677e-06], [0.3755687379557752, 0.04952019423762671], [0.11481339118583428, 0.004660658696897786], [0.25334657818404704, 0.02232985422499883], [0.00037789912907583396, 3.474932755631214e-06], [0.3755720701711309, 0.04952094908668656], [0.11497424322356402, 0.004669647061275689], [0.2555405601909343, 0.02270788876366789], [6.0865530221697204e-05, 1.4861628257665174e-06]]', '[505.18718987927423, 13.323443409664547, -215.5099764248043, -4.26075734629663, -29.53416621581703, -8.395880437703001, -80.71773216224992, -2.183012689454549, -22.614419906740338, 6.049243014293452, -24.13272522855528, 0.8131858453257017, 1.4456823568449266, -5.583773013760451, 8.7824283250533, 0.3846628392974515, 5.480049869112763, -0.581901579086244, 15.284396521827357, 0.5116242092334788]', '[27306.81958941129, 28805.42086454683, 28805.420864546835, 30695.133854020605, 30695.133854020612, 32908.72607449697, 32908.726074496975, 37411.182159959746, 37411.182159959746, 37563.07061949014, 37563.07061949015, 51685.56162415817, 51685.56162415818, 56497.013316261735, 56497.01331626174, 73126.00916539152, 73126.00916539153, 195482.1288452071, 195482.1288452071, 646589.0823529412]']",0
0,"['[[0.4106779291125616, 0.05977461062817896], [0.12554646050476417, 0.005608103327344494], [0.277030108104018, 0.027028312854697152], [0.0004132261715579186, 1.8118676769614404e-06], [0.41068157283250756, 0.059776176063890914], [0.1257223494302056, 0.005623392568029885], [0.2794291895398239, 0.027495511235847987], [6.655540618699753e-05, 9.231269371850495e-07], [0.4106779291125618, 0.0597760274761716], [0.12554646050476417, 0.005614862008104975], [0.277030108104018, 0.02704202140285198], [0.0004132261715579186, 3.351061785563848e-06], [0.4106815728325075, 0.059776541037689195], [0.1257223494302055, 0.005625203455039619], [0.27942918953982376, 0.027496771697589188], [6.655540618699756e-05, 1.1643018144786065e-06]]', '[702.8264896943389, -13.699862953048974, -293.1041391456348, -4.79098035769565, -81.31852626169729, -19.082508050486517, -152.54133733837796, 32.75637612485865, -9.609304780376224, 18.920143353393364, 5.230669538957752, 6.526552881133675, 27.57599990977146, 0.5305335172285037, 18.649467107431242, -2.625920395236627, 6.0552764738474325, -8.28174017186271, 12.087149348499832, -6.261701801388013]', '[40822.084874342494, 41735.67137810108, 41735.671378101084, 45317.727113736255, 45317.727113736255, 50631.08285623187, 50631.08285623189, 51328.28000808285, 51328.28000808286, 53191.01110659615, 53191.01110659616, 93739.14832511212, 93739.14832511212, 124298.86579992998, 124298.86579992998, 181610.1525614053, 181610.1525614053, 337665.6426251218, 337665.64262512187, 1144479.51372549]']",0
15,"['[[0.43149174916115796, 0.054097725032616395], [0.13190935768390175, 0.0050860068775075195], [0.29107044095214596, 0.02441291941434142], [0.00043416914064506296, 2.6557686556455513e-06], [0.4314955775507095, 0.054098078915376484], [0.13209416094386933, 0.0050963877508515155], [0.2935911117058745, 0.024811914822633858], [6.992854155521866e-05, 1.2559576367392382e-06], [0.43149174916115796, 0.05409739214037405], [0.13190935768390163, 0.0050864878450591665], [0.29107044095214574, 0.02439472227562135], [0.00043416914064506285, 2.853937696220406e-06], [0.4314955775507096, 0.05409891887935476], [0.13209416094386928, 0.005099706698835466], [0.29359111170587443, 0.024822150788861876], [6.992854155521868e-05, 1.6267209753958666e-06]]', '[576.3188516901113, -2.869161704440456, -227.95640326882517, 17.677635678945702, -47.98288678955385, -9.036794257318983, -99.23999396354827, -0.11954185750881091, -40.24369802525813, 1.0991687820974778, -26.285919964482694, -0.1835894712852123, -2.9299252303439767, -1.7043686712140105, 7.88854438898356, 2.301031722287136, 4.711314565261485, -1.9633115061349626, 19.704592063285574, 0.01983575517331233]', '[25905.87308936686, 27312.550134552675, 27312.550134552675, 28111.661520752954, 28111.661520752958, 33840.360525847726, 33840.36052584773, 35848.93991615925, 35848.93991615926, 36164.82726095276, 36164.82726095277, 45762.07749102006, 45762.07749102007, 64650.29686003621, 64650.29686003621, 89196.58464145884, 89196.58464145886, 205061.64190252288, 205061.64190252288, 732430.294117647]']",0
11,"['[[0.5304864925238099, 0.048049724318566356], [0.16217258528080525, 0.004507124937389081], [0.35784910742381865, 0.021721154371293412], [0.0005337781429902935, 1.3349000448651451e-06], [0.5304911992394056, 0.048051619580234226], [0.1623997869211094, 0.004522519514767771], [0.36094808159783803, 0.022099913719362495], [8.597185649331728e-05, 1.1016996808290872e-06], [0.5304864925238099, 0.04805228825335896], [0.16217258528080516, 0.004519552095694939], [0.35784910742381815, 0.02174796191657481], [0.0005337781429902933, 3.909685451458769e-06], [0.5304911992394056, 0.04805205840486709], [0.16239978692110965, 0.004523723887377081], [0.3609480815978377, 0.022110151378720185], [8.597185649331733e-05, 1.1253922390629699e-06]]', '[758.3317827677427, -46.326215637722356, -218.03825483747818, 11.603034624043563, -81.66969788755827, -22.774004404496154, -108.37985102727055, 0.3607985529784068, -34.581041377802634, 10.886249006770175, -28.26104103946828, 23.333758066078502, -13.189578843363293, 20.607224343947763, -0.7170905849929055, 15.207826284813555, -6.486690108811409, 10.1378485571921, 2.138792625659272, 1.7624992754514794]', '[26780.807927137914, 27493.93318577951, 27493.93318577952, 31072.353795461328, 31072.353795461328, 33926.51379838973, 33926.51379838975, 36004.04243570097, 36004.04243570097, 38117.169181215555, 38117.169181215555, 41174.20248552636, 41174.20248552636, 78580.21859724255, 78580.21859724257, 107896.7000904632, 107896.70009046322, 213927.98948126537, 213927.98948126537, 1031471.7294117647]']",0
4,"['[[0.48139229400244204, 0.04883544927256762], [0.14716422369440357, 0.004589963410765257], [0.3247317418204508, 0.022070774706397053], [0.00048437931665324687, 2.7907603049283494e-06], [0.4813965651321501, 0.04883629588712577], [0.14737039881925312, 0.004599339891525034], [0.32754391952470874, 0.02244404997956105], [7.801553819036993e-05, 1.071751272908105e-06], [0.4813922940024418, 0.048835568702302004], [0.14716422369440338, 0.004591158586718566], [0.32473174182045056, 0.022062541959733933], [0.0004843793166532465, 3.468304899261198e-06], [0.4813965651321501, 0.04883640961959479], [0.14737039881925315, 0.004600815684539705], [0.32754391952470846, 0.02243866159692449], [7.801553819036999e-05, 1.4267052027775782e-06]]', '[683.7281560955072, 34.84329996916355, -224.11707459596317, 1.6868705554008607, -87.77640576069888, -7.342327873852277, -117.09864397418613, -25.284531967655674, -14.589760376413519, -22.44357262633293, -2.538454099397419, -25.737548060631056, 23.49177044653038, -13.285565286325342, 16.554142006614626, 0.8448650816902907, 9.890582535766285, 7.832869542220273, 6.177518265122295, 18.569743958843382]', '[24712.451417626224, 27215.426181718416, 27215.42618171842, 28270.55335125776, 28270.553351257764, 33287.39134896091, 33287.39134896092, 36073.41933021915, 36073.419330219156, 38968.4062623625, 38968.40626236251, 43147.91613967604, 43147.91613967605, 86984.79297468968, 86984.79297468968, 114223.79848909825, 114223.79848909825, 216385.38030751515, 216385.38030751515, 924019.0784313722]']",0
5,"['[[0.47978372933386104, 0.04139121466057275], [0.14667247678930503, 0.003891497807265238], [0.3236466558870715, 0.018666723694534645], [0.00048276077089614406, 2.175083045802145e-06], [0.4797879861916571, 0.04139256778639684], [0.14687796298326491, 0.003901894912234088], [0.32644943674440646, 0.01899158957695493], [7.775485051444152e-05, 1.0865640738799287e-06], [0.47978372933386104, 0.041392817468579056], [0.1466724767893051, 0.0038992550299381695], [0.32364665588707153, 0.018684626009963116], [0.0004827607708961432, 4.0453884862130536e-06], [0.47978798619165736, 0.04139288580475342], [0.14687796298326522, 0.0039038189427457824], [0.3264494367444064, 0.018991150890130076], [7.775485051444158e-05, 1.3733206011645736e-06]]', '[764.6260323357554, 6.38806015668529, -203.20133063498903, -1.4998057153734772, -54.838496861884416, -26.529169383290863, -120.9598553648043, -3.6403241319950514, -37.85282401020295, 9.211215348211415, -36.98836204426097, -10.90860401136111, 3.518387100880277, -12.571408022613689, 3.8250320143463163, -9.197131713033706, 2.6604039470337426, 0.5923678274334847, 1.0707756470117773, -2.231859457972278]', '[41387.212394504924, 42141.885866160366, 42141.885866160366, 42828.69274117939, 42828.69274117939, 44831.98894039014, 44831.98894039014, 45240.22949908152, 45240.22949908153, 54214.41569502985, 54214.41569502986, 61570.9782486552, 61570.9782486552, 87605.30635460772, 87605.30635460773, 130683.64734289292, 130683.64734289292, 218139.01108091875, 218139.01108091875, 1159486.7411764706]']",0
10,"['[[0.4962259835384557, 0.058591823556300625], [0.15169896268438865, 0.005494061648106969], [0.334738071171101, 0.02655758018854987], [0.0004993050487233665, 1.864281715832891e-06], [0.49623038627935234, 0.05859243383490804], [0.15191149091839726, 0.0055062628641405036], [0.3376369037128062, 0.027003727660348118], [8.041951990532276e-05, 7.733682506430017e-07], [0.4962259835384558, 0.058591642680001936], [0.15169896268438865, 0.005494367209623728], [0.3347380711711012, 0.02654603933037081], [0.0004993050487233668, 2.313432603633609e-06], [0.49623038627935195, 0.05859308374280275], [0.15191149091839742, 0.0055090164451880395], [0.33763690371280597, 0.027011186485677217], [8.041951990532278e-05, 1.0965832696427853e-06]]', '[750.2238890816225, 2.7811410287229212, -282.4474104671151, 32.92413657025497, -114.75379073889997, -14.805672919330242, -110.41945470020514, -6.063274388664594, -12.787965933943145, 0.8958809894493137, -7.116289846953639, 1.6334336431886345, 24.066515786821185, -6.970841756746703, 21.18970706523971, -9.1727841421447, 15.58911331547224, -11.57628132726157, 8.959663083775077, -2.5509850018704805]', '[32519.300548125462, 33438.53682843748, 33438.53682843748, 34186.72888006298, 34186.72888006299, 34192.611360204595, 34192.611360204595, 36230.01546314117, 36230.01546314117, 47699.8669827524, 47699.8669827524, 65607.6014606894, 65607.60146068945, 112394.3779595851, 112394.37795958511, 121959.35370158739, 121959.35370158739, 287567.5286886882, 287567.52868868824, 1079233.505882353]']",0
12,"['[[0.44084301591571917, 0.054984565714993335], [0.13476809042565865, 0.005166288039288646], [0.2973785044157062, 0.024780247974733268], [0.00044357843168866596, 2.352807961839817e-06], [0.44084692727393027, 0.05498698664251911], [0.1349568987322685, 0.005183015398105224], [0.2999538030149601, 0.025211780244672025], [7.144402927221802e-05, 1.2619912508353295e-06], [0.44084301591571906, 0.05498807877136721], [0.13476809042565877, 0.005183697633347778], [0.29737850441570624, 0.024815241347440495], [0.0004435784316886669, 6.40449725401767e-06], [0.44084692727393016, 0.05498753447923508], [0.13495689873226843, 0.005185361438862946], [0.29995380301495983, 0.025218662997074547], [7.144402927221805e-05, 1.5069227429121529e-06]]', '[736.6789376909437, -59.9636869007027, -228.02006588295055, 0.7493400019959744, -54.6537082619676, -46.03970967939729, -128.95303613363285, 19.151817468617843, -37.01040704898901, 26.416618272954558, -32.78634894123225, 31.16869127641749, -5.2947351961684905, 15.326744611529172, 11.449152022708006, 6.773763386696357, 0.3497539224407178, -0.5095965385697185, 3.1813666217545515, -14.39543680963126]', '[48665.60732534775, 51934.07772325146, 51934.07772325147, 54318.4888130271, 54318.48881302711, 61452.426795987136, 61452.426795987136, 62267.0557462262, 62267.055746226215, 68184.25726749882, 68184.25726749883, 81749.96766207885, 81749.96766207888, 90787.2191556723, 90787.2191556723, 161843.36760950842, 161843.36760950842, 262097.38302922543, 262097.38302922546, 1171347.3098039213]']",0
7,"['[[0.3626792899812476, 0.04783916283181014], [0.11087301733969394, 0.004501400713217749], [0.2446517715907133, 0.021562793619984578], [0.0003649297025193147, 2.8569385095606667e-06], [0.36268250783560324, 0.04783991197174438], [0.11102834896594536, 0.004511112257688595], [0.24677045655054392, 0.021922149461442466], [5.8776636749080615e-05, 1.3878739786329673e-06], [0.3626792899812477, 0.047840225788297226], [0.11087301733969394, 0.00450737693824031], [0.24465177159071322, 0.02156910155779066], [0.0003649297025193141, 4.450430948286462e-06], [0.3626825078356033, 0.04784112187904379], [0.11102834896594531, 0.004515585079372558], [0.246770456550544, 0.021938465908810306], [5.877663674908061e-05, 1.8506321185083974e-06]]', '[474.21579332955866, -49.28633899207236, -225.37393013783486, 26.420227427075176, -55.84913064927157, 4.402643608764482, -62.658451792629094, 7.408140917587037, -10.738994549077983, 15.541161214477686, -3.822826373529459, 9.230042283794551, 7.755286008948396, 6.554516257384119, 9.736783128660331, 2.428376834218879, 5.397255556142477, -13.376969672038445, 9.715687091933194, -8.11924705915773]', '[19751.276158042976, 19909.50469410183, 19909.504694101837, 22058.148580931957, 22058.14858093196, 24468.649645858328, 24468.649645858335, 26477.022339272473, 26477.022339272477, 26696.762555438512, 26696.76255543852, 26953.49796914083, 26953.49796914083, 49188.15172770474, 49188.15172770474, 55551.80900919148, 55551.809009191486, 204486.75651995948, 204486.75651995948, 589986.9607843135]']",0
6,"['[[0.5555365466336543, 0.037854490049485004], [0.16983052208724553, 0.003588632150401287], [0.3747470673727683, 0.016898501052665837], [0.0005589836318255416, 5.420637998998303e-06], [0.555541475604636, 0.037855064587526965], [0.1700684523954117, 0.0035928746628645087], [0.3779923779226206, 0.017175450790763623], [9.003152566007679e-05, 2.4356134858293678e-06], [0.555536546633654, 0.03785546814027739], [0.1698305220872455, 0.003592645913166841], [0.3747470673727683, 0.01691296535811369], [0.0005589836318255425, 5.809845891415653e-06], [0.5555414756046361, 0.03785615495000814], [0.1700684523954117, 0.003597229830945893], [0.3779923779226205, 0.017189146294839794], [9.00315256600769e-05, 2.7952495336673116e-06]]', '[698.1733361101378, 15.199852443566112, -128.63558919443187, 0.07677444367079234, 46.66529910829577, -16.354018353344244, -5.795292450910048, -8.036706811602649, -9.705478671251448, 3.522091171630229, -15.782770148090624, 6.360902542087837, -16.2881843079442, 11.240781069170698, -13.812411787720222, 4.026900424943381, -13.057646121348395, 5.424948400230406, -10.92044990401526, 7.15414764508144]', '[25526.243454063224, 28683.642492064195, 28683.64249206421, 29862.930707752144, 29862.930707752148, 32925.39967734562, 32925.399677345624, 33534.175321308845, 33534.17532130885, 38832.478457695055, 38832.47845769507, 39321.9275294349, 39321.92752943491, 41302.90763635871, 41302.90763635871, 51604.79016307699, 51604.79016307699, 109479.98418242307, 109479.98418242307, 834885.7058823529]']",0
13,"['[[0.43666648883627474, 0.058601415262404574], [0.13349130354509833, 0.005501471983202528], [0.29456115372238273, 0.026460760799137235], [0.000439375989402137, 2.323722595035662e-06], [0.4366703631384518, 0.058603607652688856], [0.13367832309022845, 0.005518242226766118], [0.29711205405751717, 0.026923116458063168], [7.076717172395843e-05, 1.1922383102779575e-06], [0.4366664888362739, 0.05860422090205246], [0.13349130354509842, 0.005514872060898462], [0.294561153722383, 0.026492149169472467], [0.00043937598940213665, 5.101359653963829e-06], [0.4366703631384518, 0.05860404531031952], [0.13367832309022856, 0.005520049851790836], [0.29711205405751745, 0.0269272366261891], [7.076717172395851e-05, 1.372282538902005e-06]]', '[934.817106579262, 19.303962363946596, -262.8676955738713, 19.48671209436657, -18.466593640770654, -36.30447905421556, -175.44400444125029, 5.100396811193839, -65.7372585398546, 8.473138348126959, -59.765187772790554, -39.65275756756605, 0.12989649092113728, -23.039165222583662, 9.650381056672227, -33.020796987734634, 14.050253069227665, -10.918899319009245, 21.937332402810213, -6.514138968554929]', '[101025.0134247092, 101360.38515267373, 101360.38515267374, 106320.73412906495, 106320.73412906498, 111346.02393434706, 111346.02393434709, 114515.20250103391, 114515.20250103393, 129591.74172346524, 129591.74172346525, 180030.38964751703, 180030.38964751703, 202199.20778464564, 202199.20778464573, 253510.55574964956, 253510.55574964956, 379007.95337281795, 379007.95337281795, 1904217.6274509805]']",0
41,"['[[0.5268505158565847, 0.02981687254739597], [0.16106104758011977, 0.0028115445067791846], [0.3553963946341109, 0.013385809224519029], [0.000530119605212726, 1.9087181502931408e-06], [0.5268551903121546, 0.029818417834128492], [0.16128669197085307, 0.0028207785018736103], [0.35847412830917713, 0.013618204495265372], [8.53826017834364e-05, 8.201873164478144e-07], [0.5268505158565845, 0.02981937108622483], [0.1610610475801198, 0.0028310054330324833], [0.355396394634111, 0.013405798627891074], [0.0005301196052127247, 7.4288068180642795e-06], [0.5268551903121546, 0.02981879246564721], [0.16128669197085313, 0.002822515301634487], [0.3584741283091771, 0.013619594846041123], [8.538260178343643e-05, 9.367609460588364e-07]]', '[591.8114506819215, -24.06749728279866, -120.7232700139864, 16.41558219056983, -11.702849494958572, 29.491418073031802, -44.2668873749273, -2.12882797166575, -49.96210057370487, -8.324260547635706, -33.15135486567885, -3.2683885392372303, -18.588448306586308, -4.575353836950619, -13.995254141476838, -5.097719053846561, -6.501067438847881, 2.0454296299635844, -2.5249343197177585, 1.9996350780195784]', '[19590.19766820571, 20650.03598670123, 20650.03598670123, 21119.54713136903, 21119.54713136903, 21573.495038924295, 21573.495038924295, 23632.2907206623, 23632.290720662302, 25067.13110833355, 25067.131108333553, 25682.204395124045, 25682.204395124045, 37737.2134727097, 37737.2134727097, 38739.58648806401, 38739.586488064015, 94358.07907682283, 94358.07907682283, 632546.5058823529]']",1
40,"['[[0.5248036368093367, 0.0405527967486501], [0.1604353056026567, 0.003814229150746519], [0.35401563593358787, 0.018332703080821012], [0.0005280600253512905, 2.038930510886403e-06], [0.5248082931040721, 0.04055361161353137], [0.1606600733371818, 0.0038242232517812355], [0.35708141223482065, 0.01863883539711466], [8.505087987498238e-05, 1.394509345935852e-06], [0.5248036368093371, 0.04055280943860402], [0.16043530560265679, 0.0038229485124967643], [0.3540156359335879, 0.018314228226297472], [0.0005280600253512891, 5.12149099483964e-06], [0.5248082931040718, 0.04055338007954143], [0.16066007333718177, 0.003823302763039939], [0.3570814122348206, 0.01863298935810696], [8.505087987498238e-05, 1.1556051558023134e-06]]', '[431.1063253321511, -23.810461714387635, -111.58679505435279, 39.628781670298146, -58.59576842059824, -1.5103973283679197, -61.161208368996554, -3.9572670727176766, -18.5881768635725, -8.936259950410875, -11.124278103201128, -6.354939182387016, -1.2613538646993212, -4.2321171126156525, 2.1386006618988533, -4.2467846027777325, 7.271392375382125, -1.8611074557177862, 7.775761203616311, -1.6787168834485278]', '[8028.177746100627, 8063.080453636363, 8063.080453636363, 8461.734386684047, 8461.734386684047, 8655.714841759269, 8655.71484175927, 9013.1282667488, 9013.1282667488, 11102.340097901257, 11102.340097901257, 12852.132920197577, 12852.13292019758, 34236.28798847574, 34236.28798847575, 34888.86370583419, 34888.8637058342, 65411.024636327056, 65411.02463632707, 336965.23529411765]']",1
42,"['[[0.40559988412836884, 0.037187418692497004], [0.12399407473271407, 0.003505649445175358], [0.2736046224589339, 0.016741223802473258], [0.00040811661747900557, 2.560907989425414e-06], [0.40560348279360786, 0.03718890736287655], [0.12416778878628541, 0.0035162570580238592], [0.27597403918040236, 0.017033779243324672], [6.57324465814273e-05, 1.6136442711078176e-06], [0.40559988412836895, 0.03718959575372498], [0.12399407473271398, 0.00352424418240283], [0.2736046224589339, 0.01675967442489618], [0.0004081166174790051, 7.892826428275831e-06], [0.4056034827936077, 0.037189343557644625], [0.12416778878628545, 0.00351795637872152], [0.27597403918040236, 0.01703308644918834], [6.57324465814273e-05, 1.5990535862047296e-06]]', '[356.0964037297196, 27.65269437403687, -121.23089883764368, -16.971470819633556, -14.647684216681064, -20.66027628163601, -27.180700600772298, 5.6631854454700905, -15.104657649388324, 7.308428956275419, -8.783477166683415, 7.727916714898745, -4.69245827498408, 5.891129646966957, -6.651808444749494, 1.5630334240958483, -3.053867750230597, 0.7511660493993899, -1.9586046632414467, 0.7437379600818437]', '[11764.381644858053, 12766.124314503246, 12766.124314503246, 12782.001653047182, 12782.001653047186, 13105.30715313113, 13105.307153131133, 14067.514562193935, 14067.514562193937, 16049.828638352896, 16049.8286383529, 19480.67690839581, 19480.676908395813, 20158.138617652847, 20158.13861765285, 27167.870510316116, 27167.87051031612, 74344.84212075935, 74344.84212075935, 297475.0156862745]']",1
43,"['[[0.5140710431814596, 0.041220992238451507], [0.1571542937768505, 0.003879203453340915], [0.3467757738368054, 0.018550146923057804], [0.0005172608363485656, 2.8344782075598464e-06], [0.5140756042517801, 0.04122260874584861], [0.1573744648573395, 0.003890502232730368], [0.349778852913996, 0.018865947066304994], [8.331153115983008e-05, 1.2798073967477176e-06], [0.5140710431814602, 0.04122359581952277], [0.1571542937768505, 0.003892868783425606], [0.3467757738368052, 0.018569361301894103], [0.0005172608363485638, 6.07812375842436e-06], [0.5140756042517801, 0.041223370972323634], [0.15737446485733944, 0.0038933414747379332], [0.349778852913996, 0.01887565095002306], [8.331153115983008e-05, 1.5642864028228612e-06]]', '[822.748529269038, -40.64812010382922, -212.02815538133402, -0.6260474426782863, -59.48666114513574, -14.437046588737394, -86.4317688760897, -15.423325176527602, -59.870094089369736, -9.038730682801418, -53.03986962950947, 11.741069061492823, -24.156132766717093, 10.400022526506067, -14.310778492864669, 10.38297696906752, -5.88192205129368, 11.452037892831719, 7.468932705115373, 8.196068580692314]', '[36581.31877772427, 38767.45034276266, 38767.45034276267, 41710.47724589626, 41710.47724589626, 47262.034336503064, 47262.03433650307, 58169.60934409434, 58169.60934409434, 64237.25812988719, 64237.25812988719, 65036.6210997436, 65036.62109974361, 67982.03704554684, 67982.03704554684, 93828.72642184574, 93828.72642184576, 230892.3781433249, 230892.3781433249, 1252922.5647058825]']",1
53,"['[[0.3685222025078261, 0.032269787729795905], [0.11265922724957646, 0.003038045014901184], [0.2485932122529326, 0.014538102870562016], [0.00037080887011744503, 2.3648611607374804e-06], [0.3685254722031388, 0.03227178866756708], [0.11281706133221255, 0.0030491805735889297], [0.25074603009885227, 0.014801158908763445], [5.972355254112691e-05, 1.4518642224132327e-06], [0.36852220250782625, 0.03227283498515753], [0.11265922724957639, 0.003057330430829736], [0.2485932122529326, 0.014570190686975534], [0.00037080887011744465, 7.292083829890553e-06], [0.3685254722031386, 0.03227190606333486], [0.11281706133221249, 0.003049899191051997], [0.2507460300988521, 0.014798926660025054], [5.9723552541126985e-05, 1.5258854002271324e-06]]', '[478.9241698940806, 29.340251060568868, -165.4752180991485, -10.162221960853868, 2.0964793174127903, -16.228569955258067, -60.605902371112094, -0.7410582952100326, -13.073050733622495, -11.309760508770196, -1.5443442222580066, -7.516449625812017, 4.413774385048809, -2.1439532390799974, 2.888189706063997, -2.381291010286624, 1.0881358838249735, 6.754421880972757, -2.8206417476368957, 4.838996207174624]', '[24187.581264035136, 24234.456701833304, 24234.456701833304, 28630.101089898926, 28630.10108989893, 31292.48713195959, 31292.487131959595, 34081.336968513075, 34081.336968513075, 35812.83624782179, 35812.8362478218, 45436.7834565261, 45436.7834565261, 48379.52513530178, 48379.52513530178, 53161.81587916919, 53161.81587916919, 147466.64260312138, 147466.64260312138, 592219.8980392157]']",1
47,"['[[0.4940785103646049, 0.04006308644498415], [0.15104246853923575, 0.003775183261003803], [0.3332894549116689, 0.018051898823995546], [0.0004971442505522272, 3.1690904540346866e-06], [0.4940828940521503, 0.04006390338209294], [0.15125407703365734, 0.0037833139515617465], [0.336175742432909, 0.0183522505714731], [8.00714954822175e-05, 1.3886351647107858e-06], [0.49407851036460493, 0.040064094537118754], [0.15104246853923578, 0.0037864535859766344], [0.3332894549116688, 0.01805474710162459], [0.0004971442505522261, 6.496718787274136e-06], [0.49408289405215017, 0.04006461574797164], [0.1512540770336573, 0.0037853163293114925], [0.33617574243290876, 0.018363215781847207], [8.007149548221758e-05, 1.2997874563614523e-06]]', '[485.49220516347174, 21.195009227702943, -140.5449330899197, 14.767041006147913, -52.13849641647646, 8.30756932521374, -59.63448254387856, -23.128908116399785, -15.552035041572164, -12.818489673454263, 2.1478316288835124, -16.40476359840916, 9.424593245424676, -8.974224443610623, 6.035519939957227, -5.841371866775434, 6.937766459021181, -3.3084723620308303, 3.086104487366722, 1.0231179983170775]', '[10593.558538919066, 10757.145453297857, 10757.14545329786, 10853.79877205766, 10853.798772057662, 14251.92759252584, 14251.927592525844, 17589.006399553382, 17589.006399553386, 19209.24299387159, 19209.242993871594, 21746.127680961163, 21746.127680961163, 36729.717753301324, 36729.71775330133, 44989.87794240686, 44989.87794240686, 93246.21503538317, 93246.21503538317, 453922.49019607843]']",1
